gene_id	Heart_P3_1	Heart_P3_2	Heart_P3_3	Heart_P3_4	Heart_P63_1	Heart_P63_2	Heart_P63_3	Heart_P63_4
ENSMUSG00000000001	2149	2371	2044	2269	1501	1012	756	1137
ENSMUSG00000000003	0	0	0	0	0	0	0	0
ENSMUSG00000000028	478	570	511	532	97	46	68	102
ENSMUSG00000000037	271	241	294	256	74	32	18	50
ENSMUSG00000000049	1	0	1	2	4	0	8	16
ENSMUSG00000000056	2170	2765	2413	3075	5838	2976	3629	4618
ENSMUSG00000000058	2070	2710	2393	1945	3101	2429	1767	2370
ENSMUSG00000000078	2454	3089	2405	2245	4539	2289	2601	3249
ENSMUSG00000000085	1809	2199	1825	2373	1762	929	1263	1727
ENSMUSG00000000088	11090	14032	13048	10557	18465	13336	18097	24711
ENSMUSG00000000093	632	449	355	400	248	215	214	323
ENSMUSG00000000094	82	4	2	6	6	1	4	1
ENSMUSG00000000103	0	0	0	0	0	0	0	0
ENSMUSG00000000120	114	98	76	152	64	24	10	22
ENSMUSG00000000125	0	0	0	0	0	0	0	0
ENSMUSG00000000126	170	232	137	237	201	134	153	213
ENSMUSG00000000127	648	703	635	850	910	453	482	699
ENSMUSG00000000131	3563	4500	3430	4572	2320	1308	1675	2216
ENSMUSG00000000134	717	774	642	907	700	402	420	698
ENSMUSG00000000142	188	155	88	245	187	127	100	204
ENSMUSG00000000148	408	456	381	581	410	230	292	367
ENSMUSG00000000149	2581	2737	2369	3640	5268	2470	4431	5679
ENSMUSG00000000154	17	22	9	16	61	14	15	68
ENSMUSG00000000157	1	2	0	4	0	0	0	0
ENSMUSG00000000159	6	2	1	4	4	1	0	9
ENSMUSG00000000167	48	23	30	17	18	15	6	21
ENSMUSG00000000168	6530	8992	8109	8257	16553	9415	11995	17159
ENSMUSG00000000171	9846	12997	11496	12071	16240	8600	12351	16901
ENSMUSG00000000182	1	0	0	0	0	0	0	0
ENSMUSG00000000183	1	3	1	3	23	8	5	2
ENSMUSG00000000184	6751	7241	5923	7402	4526	2813	1931	2025
ENSMUSG00000000194	1775	1954	1742	2348	2007	1064	1188	1654
ENSMUSG00000000197	18	7	6	17	23	19	17	31
ENSMUSG00000000202	2	3	1	3	0	0	1	0
ENSMUSG00000000204	14	10	14	15	6	16	7	8
ENSMUSG00000000214	12	0	1	10	0	2	1	0
ENSMUSG00000000215	1	8	1	3	0	0	0	0
ENSMUSG00000000216	78	6	1	0	0	3	0	4
ENSMUSG00000000223	72	60	43	66	56	23	19	24
ENSMUSG00000000244	16	14	10	16	23	14	15	24
ENSMUSG00000000247	5	5	3	3	1	0	1	0
ENSMUSG00000000248	1	0	0	1	1	0	0	1
ENSMUSG00000000253	2599	3103	2667	3294	3856	2113	2572	3840
ENSMUSG00000000263	0	0	0	0	0	1	0	0
ENSMUSG00000000266	1651	2095	1547	1909	1326	806	695	1491
ENSMUSG00000000275	1661	2040	1598	2291	2345	1052	1324	1494
ENSMUSG00000000276	724	904	830	1131	942	660	573	886
ENSMUSG00000000278	1019	1126	992	1319	775	472	396	553
ENSMUSG00000000282	586	841	581	864	788	381	462	499
ENSMUSG00000000290	99	48	40	79	201	127	207	160
ENSMUSG00000000295	350	426	432	395	83	41	54	103
ENSMUSG00000000296	121	159	124	136	183	78	174	225
